#queryIndex	queryItem	stringId	identity	bitscore	preferredName	annotation
197	KAI7839165.1	3076.A0A2P6TMV2	87.9	1887.1	C2E21_6034	Calcium-translocating P-type PMCA-type; Belongs to the cation transport ATPase (P-type) (TC 3.A.3) family.
198	KAI7845585.1	3076.A0A2P6TWR3	74.1	422.2	C2E21_2825	33kDa oxygen evolving of photosystem II.
199	KAI7845326.1	3076.A0A2P6TMJ4	78.8	1157.5	C2E21_5915	Phosphatidylserine decarboxylase proenzyme 2-like isoform X1.
200	KAI7844452.1	3076.A0A2P6TH25	97.4	235.3	C2E21_7521	Multifunctional methyltransferase subunit TRM112 At1g22270.
201	KAI7838019.1	3076.A0A2P6U5M1	98.0	660.6	C2E21_0626	Glycerol-3-phosphate dehydrogenase [NAD(+)].
202	KAI7837766.1	3076.A0A2P6TCK7	81.1	797.7	C2E21_9106	Glutamate dehydrogenase; Belongs to the Glu/Leu/Phe/Val dehydrogenases family.
203	KAI7842679.1	3076.A0A2P6U1K2	97.8	556.2	C2E21_0959	Malate synthase; Belongs to the malate synthase family.
204	KAI7837081.1	3076.A0A2P6THX8	68.6	463.8	C2E21_7350	Ubiquitin-conjugating enzyme E2 E1; Belongs to the ubiquitin-conjugating enzyme family.
205	KAI7844482.1	3076.A0A2P6TH55	83.7	458.8	C2E21_7600	Triosephosphate cytosolic.
206	KAI7837331.1	3076.A0A2P6TWU8	78.5	860.5	C2E21_3160	Cytochrome P450; Belongs to the cytochrome P450 family.
207	KAI7837600.1	3076.A0A2P6U4G8	97.3	1155.2	C2E21_0015	Histone H2B; Belongs to the histone H2B family.
208	KAI7840665.1	3076.A0A2P6TRV7	87.9	1068.1	C2E21_4605	tRNA uridine 5-carboxymethylaminomethyl modification enzyme.
209	KAI7844946.1	3076.A0A2P6U5B3	93.3	694.9	C2E21_0515	Histidinol-phosphate aminotransferase chloroplastic.
210	KAI7846300.1	3076.A0A2P6TGH4	97.1	477.6	C2E21_7887	Serine threonine-kinase CTR1.
211	KAI7844346.1	3076.A0A2P6TXR3	84.1	761.1	C2E21_2235	Flavin-containing monooxygenase.
212	KAI7837982.1	3076.A0A2P6THT4	73.1	414.5	C2E21_7332	Serine threonine-kinase CTR1.
213	KAI7837194.1	3076.A0A2P6U2Q3	72.0	1236.5	C2E21_1247	Histone-lysine N-methyltransferase ASHH2.
214	KAI7844048.1	3076.A0A2P6U423	88.0	1414.8	C2E21_0495	Serine threonine-kinase dyrk2.
215	KAI7839042.1	3076.A0A2P6TX09	76.9	666.4	C2E21_3231	Cystathionine gamma-synthase.
216	KAI7842047.1	3076.A0A2P6U3H4	83.3	1869.4	C2E21_0924	Leucyl-cystinyl aminopeptidase.
217	KAI7843890.1	3076.A0A2P6TPU7	95.3	236.9	C2E21_5226	Photosystem I reaction center subunit VI-chloroplastic-like.
218	KAI7840333.1	3076.A0A2P6TBQ8	86.1	814.7	C2E21_9273	Uroporphyrinogen decarboxylase; Belongs to the uroporphyrinogen decarboxylase family.
219	KAI7845224.1	3076.A0A2P6TBX0	91.8	486.1	C2E21_9313	Carbamate kinase.
220	KAI7837110.1	3076.A0A2P6TUU9	92.7	931.4	C2E21_3491	Glycosyltransferase LARGE2.
221	KAI7838547.1	3076.A0A2P6TWA6	80.2	381.3	C2E21_3068	Methyltransferase-like protein; Belongs to the methyltransferase superfamily. METL family.
222	KAI7839002.1	3076.A0A2P6TW74	61.2	881.3	C2E21_2896	Phosphatidylinositol 3-kinase-related kinase; Belongs to the PI3/PI4-kinase family.
223	KAI7842010.1	3076.A0A2P6U337	91.4	1218.4	C2E21_0947	Long chain acyl-synthetase 4.
224	KAI7843030.1	3076.A0A2P6TGZ4	96.6	672.9	C2E21_7558	Chlorophyllide a oxygenase.
225	KAI7840758.1	3076.A0A2P6TDP8	86.7	6344.2	C2E21_8770	Flagellar outer dynein arm heavy chain beta.
226	KAI7844061.1	3076.A0A2P6TV83	81.5	431.0	C2E21_3308	Very-long-chain 3-oxoacyl-reductase 1-like; Belongs to the short-chain dehydrogenases/reductases (SDR) family.
227	KAI7841498.1	3076.A0A2P6TV03	48.7	320.9	C2E21_3326	Water chloroplastic isoform B.
228	KAI7838068.1	3076.A0A2P6TDX3	94.5	655.6	C2E21_8659	NAD-dependent deacetylase sirtuin-2.
229	KAI7844732.1	3076.A0A2P6TNP3	64.7	502.3	C2E21_5374	Dihydrolipoamide acetyltransferase component of pyruvate dehydrogenase complex.
230	KAI7844494.1	3076.A0A2P6TVU0	64.0	738.8	C2E21_3071	Hydroxylamine reductase.
231	KAI7838215.1	3076.A0A2P6TWC1	93.3	461.5	C2E21_3285	Diaminohydroxyphosphoribosylaminopyrimidine deaminase.
232	KAI7846465.1	3076.A0A2P6TTA9	52.2	514.6	C2E21_4350	FAD-dependent oxidoreductase.
233	KAI7842578.1	3076.A0A2P6TSN9	69.5	2249.2	C2E21_4201	Beach domain-containing.
234	KAI7841865.1	3076.A0A2P6TXD1	87.7	630.6	C2E21_2391	Lysine-specific demethylase 4A-like isoform X1.
235	KAI7835554.1	3076.A0A2P6TTU2	95.3	997.7	C2E21_3955	Prolyl-tRNA synthetase.
236	KAI7842332.1	3076.A0A2P6TYY3	97.8	763.8	C2E21_2115	Coproporphyrinogen III oxidase chloroplast.
237	KAI7843546.1	3076.A0A2P6TF34	88.8	874.4	C2E21_8243	CDK5 regulatory subunit-associated 1.
238	KAI7841493.1	3076.A0A2P6TB31	96.7	592.0	C2E21_9563	Putative uridine nucleosidase 2.
239	KAI7845040.1	3076.A0A2P6TQR7	96.6	786.6	C2E21_4687	Glutamate 5-kinase.
240	KAI7835718.1	3076.A0A2P6THR4	91.6	458.4	C2E21_7336	Putative pyridoxal 5-phosphate synthase subunit PDX2.
241	KAI7836192.1	3076.A0A2P6U1T8	82.9	944.1	C2E21_0831	Methionine synthase reductase.
242	KAI7840174.1	3076.A0A2P6U0Q3	84.9	1496.9	C2E21_1399	Hexokinase 2.
243	KAI7841070.1	3076.A0A2P6TWF5	93.9	951.4	C2E21_2698	Succinate-semialdehyde dehydrogenase; Belongs to the aldehyde dehydrogenase family.
244	KAI7835790.1	3076.A0A2P6TRB4	86.6	632.1	C2E21_4557	Cysteine synthase; Belongs to the cysteine synthase/cystathionine beta- synthase family.
245	KAI7846343.1	3076.A0A2P6U3W8	87.6	594.0	C2E21_0199	Glucose-6-phosphate 1-epimerase.
246	KAI7843886.1	3076.A0A2P6TQM7	85.8	875.2	C2E21_5229	Lycopene epsilon cyclase.
247	KAI7838295.1	3076.A0A2P6TKW1	90.6	641.7	C2E21_6368	Cysteine synthase; Belongs to the cysteine synthase/cystathionine beta- synthase family.
248	KAI7845568.1	3076.A0A2P6TX55	48.6	273.5	C2E21_2969	Very-long-chain 3-oxoacyl-reductase 1-like.
249	KAI7838506.1	3076.A0A2P6TMT6	83.3	427.9	C2E21_5830	Nitrilase cyanide hydratase and apolipo N-acyltransferase family.
250	KAI7840320.1	3076.A0A2P6TBX2	96.6	747.3	C2E21_9261	NADH dehydrogenase [ubiquinone] 1 alpha subcomplex subunit mitochondrial.
251	KAI7846238.1	3076.A0A2P6TU20	92.7	946.4	C2E21_3575	Ornithine decarboxylase; Belongs to the Orn/Lys/Arg decarboxylase class-II family.
252	KAI7843757.1	3076.A0A2P6TLT5	87.7	818.9	C2E21_6295	Putative histone-arginine methyltransferase; Belongs to the class I-like SAM-binding methyltransferase superfamily. Protein arginine N-methyltransferase family.
253	KAI7837951.1	3076.A0A2P6TGH4	32.0	296.2	C2E21_7887	Serine threonine-kinase CTR1.
254	KAI7845688.1	3076.A0A2P6TJN8	99.6	460.3	C2E21_6827	Serine acetyltransferase.
255	KAI7840160.1	3076.A0A2P6TZW8	95.8	1481.5	C2E21_1391	Cystathionine gamma-synthase.
256	KAI7845690.1	3076.A0A2P6TJU6	86.4	1290.4	C2E21_6829	Thioredoxin reductase.
257	KAI7844903.1	3076.A0A2P6U3T5	94.3	656.0	C2E21_0556	Porphobilinogen deaminase.
258	KAI7843848.1	3076.A0A2P6TQ35	86.7	1687.2	C2E21_5257	Puromycin-sensitive aminopeptidase isoform X1 isoform B.
259	KAI7835328.1	3076.A0A2P6TD77	89.0	1042.7	C2E21_8790	Threonine--tRNA chloroplastic mitochondrial 2.
260	KAI7843474.1	3076.A0A2P6THN9	91.6	716.5	C2E21_7193	Glycerol-3-phosphate acyltransferase, chloroplastic; Esterifies acyl-group from acyl-ACP to the sn-1 position of glycerol-3-phosphate. The enzyme from chilling-resistant plants discriminates against non-fluid palmitic acid and selects oleic acid whereas the enzyme from sensitive plants accepts both fatty acids. Belongs to the GPAT/DAPAT family.
261	KAI7841153.1	3076.A0A2P6TGL6	89.8	1020.4	C2E21_7741	Apocarotenoid-15,15-oxygenase.
262	KAI7836043.1	3076.A0A2P6TEC2	90.9	912.5	C2E21_8381	PALP domain-containing protein.
263	KAI7836449.1	3076.A0A2P6TP45	79.1	900.6	C2E21_5634	Platelet-activating factor acetylhydrolase.
264	KAI7835949.1	3076.A0A2P6TTA2	89.3	792.0	C2E21_3776	Cysteine desulfurase.
265	KAI7841118.1	3076.A0A2P6TGK1	93.6	629.8	C2E21_7772	Ribosomal RNA large subunit methyltransferase N isoform B.
266	KAI7836477.1	3076.A0A2P6TN89	99.4	344.4	C2E21_5607	Peptidyl-prolyl cis-trans isomerase CYP18-1.
267	KAI7836946.1	3076.A0A2P6TSZ5	83.5	800.8	C2E21_4178	Serine threonine-kinase prpf4B-like.
268	KAI7835403.1	3076.A0A2P6TH19	93.1	1166.4	C2E21_7692	Glyceraldehyde-3-phosphate cytosolic; Belongs to the glyceraldehyde-3-phosphate dehydrogenase family.
269	KAI7844767.1	3076.A0A2P6TN87	85.0	692.6	C2E21_5400	Dual-specificity RNA methyltransferase.
270	KAI7841584.1	3076.A0A2P6TW91	94.6	1313.1	C2E21_2963	Carbamoyl-phosphate synthase S chain; Belongs to the peroxidase family.
271	KAI7840163.1	3076.A0A2P6U1F3	64.1	1517.3	C2E21_1394	Serine threonine-kinase CTR1.
272	KAI7843704.1	3076.A0A2P6TVD7	91.5	622.5	C2E21_3439	Cysteine synthase; Belongs to the cysteine synthase/cystathionine beta- synthase family.
273	KAI7839602.1	3076.A0A2P6TDY8	78.1	620.5	C2E21_8602	Glyoxal reductase.
274	KAI7837988.1	3076.A0A2P6U5E4	78.0	1408.7	C2E21_0653	MAP3K epsilon kinase 1-like isoform X2.
275	KAI7836287.1	3076.A0A2P6U422	84.9	1871.7	C2E21_0021	Serine hydroxymethyltransferase; Interconversion of serine and glycine. Belongs to the SHMT family.
276	KAI7836362.1	3076.A0A2P6U532	86.3	342.4	C2E21_0443	Prolyl 4-hydroxylase subunit alpha-1.
277	KAI7838743.1	3076.A0A2P6TUV0	97.4	313.9	C2E21_3718	Ubiquitin-conjugating enzyme E2 1-like; Belongs to the ubiquitin-conjugating enzyme family.
278	KAI7837397.1	3076.A0A2P6TB77	97.5	1271.9	C2E21_9531	Glucose-6-phosphate isomerase; Belongs to the GPI family.
279	KAI7841366.1	3076.A0A2P6U127	95.7	1530.8	C2E21_1669	Protoporphyrin IX magnesium chelatase.
280	KAI7837354.1	3076.A0A2P6TUL0	86.9	741.5	C2E21_3355	Branched-chain-amino-acid aminotransferase; Belongs to the class-IV pyridoxal-phosphate-dependent aminotransferase family.
281	KAI7837666.1	3076.A0A2P6TBH6	84.4	1222.6	C2E21_9422	Acetolactate synthase.
282	KAI7843314.1	3076.A0A2P6TJ92	92.1	800.8	C2E21_7093	Alcohol dehydrogenase.
283	KAI7845120.1	3076.A0A2P6U3H9	93.5	1067.0	C2E21_0876	2-isopropylmalate synthase isoform B.
284	KAI7835655.1	3076.A0A2P6TCU7	81.7	988.0	C2E21_8995	Lysine--tRNA ligase.
285	KAI7846080.1	3076.A0A2P6TSS0	94.9	747.3	C2E21_3810	Bifunctional riboflavin biosynthesis RIBA chloroplastic-like.
286	KAI7846115.1	3076.A0A2P6U0X8	89.5	1264.2	C2E21_1724	Putative aldo-keto reductase 2.
287	KAI7840427.1	3076.A0A2P6TJ70	92.5	1062.4	C2E21_6928	Sulfatase.
288	KAI7841219.1	3076.A0A2P6TFY5	94.6	1756.5	C2E21_7990	Valyl-tRNA synthetase; Belongs to the class-I aminoacyl-tRNA synthetase family.
289	KAI7839309.1	3076.A0A2P6TRR0	74.5	1166.4	PFP-BETA-2	Pyrophosphate--fructose 6-phosphate 1-phosphotransferase subunit beta; Catalytic subunit of pyrophosphate--fructose 6-phosphate 1- phosphotransferase. Catalyzes the phosphorylation of D-fructose 6- phosphate, the first committing step of glycolysis. Uses inorganic phosphate (PPi) as phosphoryl donor instead of ATP like common ATP- dependent phosphofructokinases (ATP-PFKs), which renders the reaction reversible, and can thus function both in glycolysis and gluconeogenesis.
290	KAI7844338.1	3076.A0A2P6TY13	76.8	747.3	C2E21_2238	Serine threonine-kinase Nek1 isoform X5.
291	KAI7841308.1	3076.A0A2P6TXP3	90.1	723.4	C2E21_2371	L-cysteine desulfhydrase 1 isoform X2.
292	KAI7845835.1	3076.A0A2P6U1P2	94.5	844.3	C2E21_1140	Serine--glyoxylate aminotransferase isoform A.
293	KAI7836306.1	3076.A0A2P6TJ95	88.0	679.1	C2E21_6887	Ribonucleoside-diphosphate reductase small chain.
294	KAI7837241.1	3076.A0A2P6TUN0	78.3	864.0	C2E21_3644	Amine oxidase [flavin-containing].
295	KAI7841916.1	3076.A0A2P6U1C3	69.5	1640.2	C2E21_1584	Glycosyl hydrolase isoform B.
296	KAI7840075.1	3076.A0A2P6TVL7	94.2	395.6	C2E21_2722	Very-long-chain (3R)-3-hydroxyacyl-CoA dehydratase; Catalyzes the third of the four reactions of the long-chain fatty acids elongation cycle. This endoplasmic reticulum-bound enzymatic process, allows the addition of two carbons to the chain of long- and very long-chain fatty acids/VLCFAs per cycle. This enzyme catalyzes the dehydration of the 3-hydroxyacyl-CoA intermediate into trans-2,3-enoyl-CoA, within each cycle of fatty acid elongation. Thereby, it participates to the production of VLCFAs of different chain lengths that are involved in multiple biological processes as precursors  [...] 
297	KAI7845921.1	3076.A0A2P6U4V9	92.0	1296.2	C2E21_0369	ABC transporter F family member 3.
298	KAI7842681.1	3076.A0A2P6U3C6	90.0	682.6	C2E21_0960	Aspartate aminotransferase.
299	KAI7845914.1	3076.A0A2P6U4S3	89.1	1518.1	C2E21_0361	Calcium-dependent kinase 29.
300	KAI7836665.1	3076.A0A2P6TE69	90.9	702.6	C2E21_8671	Acyl-coenzyme A thioesterase mitochondrial.
301	KAI7844542.1	3076.A0A2P6TWF0	79.4	676.0	C2E21_3111	Phosphofructokinase family.
302	KAI7836328.1	3076.A0A2P6TVI6	93.3	855.9	C2E21_3755	Argininosuccinate synthase isoform B.
303	KAI7841218.1	3076.A0A2P6TFY5	98.0	1774.2	C2E21_7990	Valyl-tRNA synthetase; Belongs to the class-I aminoacyl-tRNA synthetase family.
304	KAI7844483.1	3076.A0A2P6TH55	95.2	479.2	C2E21_7600	Triosephosphate cytosolic.
305	KAI7837295.1	3076.A0A2P6TQZ1	85.9	479.9	C2E21_4840	Autophagy-related 18.
306	KAI7843152.1	3076.A0A2P6TI93	91.2	914.1	C2E21_7368	Pyruvate kinase; Belongs to the pyruvate kinase family.
307	KAI7840613.1	3076.A0A2P6TNV2	93.6	620.9	C2E21_5702	CDP-diacylglycerol--glycerol-3-phosphate 3-phosphatidyltransferase; Belongs to the CDP-alcohol phosphatidyltransferase class-I family.
308	KAI7837757.1	3076.A0A2P6TCI8	84.4	1135.6	C2E21_9112	Acetyl-coenzyme A synthetase isoform B.
309	KAI7842556.1	3076.A0A2P6TL20	74.9	1825.8	C2E21_6252	Glycosyl hydrolases family 31 isoform 1.
310	KAI7838822.1	3076.A0A2P6U5M9	84.9	1246.5	C2E21_0103	Inactive cadmium zinc-transporting ATPase HMA3.
311	KAI7837412.1	3076.A0A2P6TMQ3	83.6	838.6	C2E21_5721	NADH dehydrogenase.
312	KAI7839158.1	3076.A0A2P6TN19	56.7	376.7	C2E21_6039	Lysine-specific demethylase JMJD5 isoform X1.
313	KAI7844094.1	3076.A0A2P6TRP3	96.2	627.1	C2E21_4472	Thioredoxin reductase.
314	KAI7835839.1	3076.A0A2P6TG44	93.2	1223.8	C2E21_7776	Long-chain-fatty-acid--ligase.
315	KAI7836726.1	3076.A0A2P6TUV2	94.1	899.0	C2E21_3504	Serine--tRNA ligase.
316	KAI7842666.1	3076.A0A2P6TSS1	94.3	583.2	C2E21_4285	Sulfate-binding.
317	KAI7842087.1	3076.A0A2P6TMT4	92.8	946.0	C2E21_6000	Glutathione reductase.
318	KAI7845791.1	3076.A0A2P6TG17	93.0	391.7	C2E21_8140	Domain-containing 4.
319	KAI7835635.1	3076.A0A2P6TEX4	94.5	487.6	C2E21_8358	Chlorophyll(Ide) b reductase chloroplastic isoform X1; Belongs to the short-chain dehydrogenases/reductases (SDR) family.
320	KAI7843692.1	3076.A0A2P6TVE5	86.5	696.0	C2E21_3430	Mg-protoporphyrin IX chelatase; Involved in chlorophyll biosynthesis. Catalyzes the insertion of magnesium ion into protoporphyrin IX to yield Mg-protoporphyrin IX. Belongs to the Mg-chelatase subunits D/I family.
321	KAI7839821.1	3076.A0A2P6TUV1	56.0	646.0	C2E21_3762	Serine threonine-kinase CTR1.
322	KAI7838917.1	3076.A0A2P6TF04	87.2	901.4	C2E21_8312	Flavin-containing monooxygenase.
323	KAI7843968.1	3076.A0A2P6TPU0	92.6	585.1	C2E21_5163	Citrate lyase subunit beta mitochondrial.
324	KAI7835430.1	3076.A0A2P6TFM3	70.3	807.7	C2E21_8069	Prolyl 4-hydroxylase subunit alpha-2 isoform B.
325	KAI7844081.1	3076.A0A2P6TV03	84.1	1949.5	C2E21_3326	Water chloroplastic isoform B.
326	KAI7836138.1	3076.A0A2P6TI90	90.0	390.6	C2E21_7473	Glutathione peroxidase; Belongs to the glutathione peroxidase family.
327	KAI7845792.1	3076.A0A2P6TFW7	63.1	1485.7	C2E21_8139	Mitogen activated kinase.
328	KAI7838787.1	3076.A0A2P6TUE6	71.4	1106.7	C2E21_3527	Pyruvate kinase; Belongs to the pyruvate kinase family.
329	KAI7837904.1	3076.A0A2P6U4R7	92.4	765.4	C2E21_0163	S-adenosyl-L-methionine-dependent methyltransferase; Belongs to the class I-like SAM-binding methyltransferase superfamily. gTMT family.
330	KAI7841389.1	3076.A0A2P6U1C6	92.5	1355.5	C2E21_1689	O-acyltransferase.
331	KAI7841351.1	3076.A0A2P6U0B2	95.1	1015.4	C2E21_1653	Propionyl-carboxylase beta mitochondrial.
332	KAI7845346.1	3076.A0A2P6TEN7	82.7	2582.7	C2E21_8534	E3 ubiquitin-protein ligase; Ubiquitin ligase protein which is a component of the N-end rule pathway. Recognizes and binds to proteins bearing specific N- terminal residues that are destabilizing according to the N-end rule, leading to their ubiquitination and subsequent degradation.
333	KAI7842653.1	3076.A0A2P6TTB0	89.3	1838.9	C2E21_4274	Calcium-transporting endoplasmic reticulum-type; Belongs to the cation transport ATPase (P-type) (TC 3.A.3) family.
334	KAI7836740.1	3076.A0A2P6TTB4	74.3	204.1	C2E21_3871	Succinate dehydrogenase iron-sulfur subunit.
335	KAI7838188.1	3076.A0A2P6TT83	90.8	3394.0	C2E21_4044	Phosphatidylinositol 4-kinase alpha 1; Belongs to the PI3/PI4-kinase family.
336	KAI7843319.1	3076.A0A2P6TJD3	77.2	1254.6	C2E21_7099	Pyridine nucleotide-disulfide oxidoreductase.
337	KAI7844583.1	3076.A0A2P6TUC0	87.3	734.6	C2E21_3675	Putative dihydrofolate synthetase isoform X2.
338	KAI7843660.1	3076.A0A2P6TVA4	90.2	1817.0	C2E21_3397	2-oxoglutarate mitochondrial-like isoform A.
339	KAI7841639.1	3076.A0A2P6TMI1	79.0	624.8	C2E21_5878	Amidase.
340	KAI7843091.1	3076.A0A2P6U2A6	84.6	413.3	C2E21_1077	Putative chlorophyll(Ide) b reductase chloroplastic.
341	KAI7835424.1	3076.A0A2P6TG25	85.0	299.3	C2E21_8073	CDP-diacylglycerol--glycerol-3-phosphate 3-phosphatidyltransferase; Belongs to the CDP-alcohol phosphatidyltransferase class-I family.
342	KAI7841522.1	3076.A0A2P6TWL1	95.9	758.8	C2E21_2910	Branched-chain-amino-acid aminotransferase; Belongs to the class-IV pyridoxal-phosphate-dependent aminotransferase family.
343	KAI7843515.1	3076.A0A2P6TKT0	97.4	847.0	C2E21_6417	Glucose-1-phosphate adenylyltransferase.
344	KAI7845440.1	3076.A0A2P6TCH5	84.5	921.0	C2E21_9083	Peptidyl-prolyl cis-trans isomerase CYP65.
345	KAI7841796.1	3076.A0A2P6TDS8	93.8	620.9	C2E21_8592	Ribonucleoside-diphosphate reductase small chain.
346	KAI7845349.1	3076.A0A2P6TEN6	81.8	2230.3	C2E21_8531	Multidrug resistance-associated 1 isoform X3.
347	KAI7838597.1	3076.A0A2P6TJB9	70.1	356.3	C2E21_7134	Chloroplast photosystem II-associated 22 kDa.
348	KAI7839859.1	3076.A0A2P6TGC6	91.8	436.8	C2E21_7809	D-lactate dehydrogenase; Belongs to the D-isomer specific 2-hydroxyacid dehydrogenase family.
349	KAI7845546.1	3076.A0A2P6TDZ7	73.1	1189.5	C2E21_8632	Magnesium-translocating P-type ATPase; Belongs to the cation transport ATPase (P-type) (TC 3.A.3) family.
350	KAI7836894.1	3076.A0A2P6U2E5	79.0	411.0	C2E21_1109	Glutathione peroxidase; Belongs to the glutathione peroxidase family.
351	KAI7837968.1	3076.A0A2P6TLF7	90.0	952.6	C2E21_6307	Fad dependent oxidoreductase.
352	KAI7842088.1	3076.A0A2P6TMT4	72.7	1013.8	C2E21_6000	Glutathione reductase.
353	KAI7836863.1	3076.A0A2P6TKG7	92.2	505.0	C2E21_6724	3-oxoacyl-[acyl-carrier-protein] reductase; Belongs to the short-chain dehydrogenases/reductases (SDR) family.
354	KAI7844576.1	3076.A0A2P6TWP7	78.2	655.6	C2E21_3144	Amine oxidase.
355	KAI7836482.1	3076.A0A2P6TCS1	92.6	1024.6	C2E21_9050	Methylcrotonoyl-carboxylase.
356	KAI7837604.1	3076.A0A2P6U3T2	88.5	1276.2	C2E21_0012	Methylcrotonoyl-carboxylase subunit mitochondrial.
357	KAI7835774.1	3076.A0A2P6TKM6	87.7	114.8	C2E21_6456	NEDD8-activating enzyme E1 catalytic subunit isoform A.
358	KAI7838945.1	3076.A0A2P6TPN3	87.9	833.2	C2E21_5295	4-hydroxyphenylpyruvate dioxygenase.
359	KAI7835539.1	3076.A0A2P6TQ93	93.7	704.1	C2E21_5125	12-oxophytodienoate reductase 1.
360	KAI7838627.1	3076.A0A2P6TR93	95.5	627.1	C2E21_4652	GDP-L-fucose synthase 2.
361	KAI7835449.1	3076.A0A2P6TSU4	90.9	962.2	C2E21_4198	alpha-1,2-Mannosidase; Belongs to the glycosyl hydrolase 47 family.
362	KAI7842211.1	3076.A0A2P6TTJ3	82.9	439.9	C2E21_4135	S-formylglutathione hydrolase; Serine hydrolase involved in the detoxification of formaldehyde.
363	KAI7837480.1	3076.A0A2P6TP43	92.3	667.9	C2E21_5589	ATP-dependent zinc metalloprotease FTSH chloroplastic isoform B.
364	KAI7835897.1	3076.A0A2P6TTG5	96.8	477.2	C2E21_4096	Chlorophyll a-b binding protein, chloroplastic; The light-harvesting complex (LHC) functions as a light receptor, it captures and delivers excitation energy to photosystems with which it is closely associated; Belongs to the light-harvesting chlorophyll a/b-binding (LHC) protein family.
365	KAI7836150.1	3076.A0A2P6THW0	96.0	1003.4	C2E21_7462	Cytochrome P450.
366	KAI7842113.1	3076.A0A2P6TMU5	94.9	660.2	C2E21_5980	Nicotinamide-nucleotide adenylyltransferase.
367	KAI7845460.1	3076.A0A2P6TFZ1	75.1	1152.1	C2E21_8105	Putative prolyl 4-hydroxylase 4.
368	KAI7842119.1	3076.A0A2P6TLX6	76.0	559.7	C2E21_5979	Deoxycytidine kinase.
369	KAI7840635.1	3076.A0A2P6TNF1	92.6	647.1	C2E21_5690	Ferredoxin-NADP+ reductase.
370	KAI7841971.1	3076.A0A2P6U0B0	96.5	791.2	C2E21_1532	Acyl-coenzyme A oxidase peroxisomal.
371	KAI7843572.1	3076.A0A2P6TF00	58.1	908.3	C2E21_8258	E3 ubiquitin-ligase UPL5.
372	KAI7837371.1	3076.A0A2P6TU88	87.6	949.5	C2E21_3364	Proline--tRNA cytoplasmic isoform B.
373	KAI7841152.1	3076.A0A2P6TGL6	85.8	1004.2	C2E21_7741	Apocarotenoid-15,15-oxygenase.
374	KAI7844922.1	3076.A0A2P6U5G2	90.8	775.4	C2E21_0543	Sulfoquinovosyl transferase SQD2-like.
375	KAI7841302.1	3076.A0A2P6TY84	95.2	480.3	C2E21_2365	Sedoheptulose-1,7-chloroplastic.
376	KAI7845748.1	3076.A0A2P6TG03	92.8	580.1	C2E21_8172	Testosterone 17-beta-dehydrogenase 3.
377	KAI7836703.1	3076.A0A2P6TW26	93.8	629.4	C2E21_3043	Aldo keto reductase family.
378	KAI7835603.1	3076.A0A2P6TI19	86.1	1130.2	C2E21_7315	NADPH-cytochrome-P450 oxidoreductase.
379	KAI7840315.1	3076.A0A2P6TBW5	89.0	622.5	C2E21_9256	Short-chain dehydrogenase reductase family 42E member 1 isoform A; Belongs to the 3-beta-HSD family.
380	KAI7845924.1	3076.A0A2P6U4D0	94.6	506.9	C2E21_0372	Chlorophyll a-b binding protein, chloroplastic; The light-harvesting complex (LHC) functions as a light receptor, it captures and delivers excitation energy to photosystems with which it is closely associated; Belongs to the light-harvesting chlorophyll a/b-binding (LHC) protein family.
381	KAI7835429.1	3076.A0A2P6TFM3	69.9	802.4	C2E21_8069	Prolyl 4-hydroxylase subunit alpha-2 isoform B.
382	KAI7836438.1	3076.A0A2P6TBL3	94.3	249.2	C2E21_9416	NADH-cytochrome b5 reductase; Belongs to the flavoprotein pyridine nucleotide cytochrome reductase family.
383	KAI7840126.1	3076.A0A2P6TCU2	86.5	1271.9	C2E21_8917	Cullin family; Belongs to the cullin family.
384	KAI7838934.1	3076.A0A2P6TPU8	87.9	2167.1	C2E21_5287	Starch branching enzyme.
385	KAI7837050.1	3076.A0A2P6U3E9	97.1	508.8	C2E21_1316	2-isopropylmalate synthase.
386	KAI7838795.1	3076.A0A2P6U3J4	81.1	1664.4	C2E21_0129	Peroxisomal fatty acid beta-oxidation multifunctional MFP2.
387	KAI7836612.1	3076.A0A2P6U0E0	74.6	829.7	C2E21_1789	Tyrosinase superfamily.
388	KAI7842619.1	3076.A0A2P6TST9	66.8	953.4	C2E21_4241	Peptidase S41 family.
389	KAI7845002.1	3076.A0A2P6TR90	99.2	406.8	C2E21_4725	NADH dehydrogenase [ubiquinone] iron-sulfur mitochondrial.
390	KAI7836711.1	3076.A0A2P6TW68	91.5	928.3	C2E21_3051	Ethanolamine-phosphate phospho-lyase; Belongs to the class-III pyridoxal-phosphate-dependent aminotransferase family.
391	KAI7842822.1	3076.A0A2P6U3N6	80.1	1214.1	C2E21_0282	Kinase Yak1.
392	KAI7836348.1	3076.A0A2P6U4E0	82.9	661.8	C2E21_0458	Chorismate synthase.
393	KAI7839658.1	3076.A0A2P6TY53	94.5	438.3	C2E21_2683	Adenylyl-sulfate kinase chloroplastic.
394	KAI7843773.1	3076.A0A2P6TQA9	95.9	612.1	C2E21_4876	Malonyl-acyl carrier transacylase isoform A.
395	KAI7846029.1	3076.A0A2P6TEJ1	84.3	2266.5	C2E21_8401	AMP-binding.
396	KAI7839167.1	3076.A0A2P6TM10	86.2	541.6	C2E21_6025	Transcriptional Sir2 family isoform A.
397	KAI7843004.1	3076.A0A2P6TH02	57.8	559.7	C2E21_7537	Arabinanase levansucrase invertase.
