Accession,GOids,GOterms,Score,Signal Peptide,Mitochondrion Transit Peptide,Chloroplast Transit Peptide,Transmembrane Alpha Helix,Transmembrane Beta Strand,GPI-anchor
KAI7843502.1,GO:0005737,C:cytoplasm,0.82,,,,,,
KAI7843508.1,GO:0031090,C:organelle membrane,0.75,,,,2-22;41-65;81-107;123-152;164-193,,
KAI7843515.1,GO:0009507,C:chloroplast,0.82,,,,,,
KAI7843526.1,GO:0005634,C:nucleus,1.0,,,,,,
KAI7843537.1,GO:0009507,C:chloroplast,0.58,,,,,,
KAI7843546.1,GO:0005634,C:nucleus,1.0,,,,,,
KAI7843551.1,GO:0005634,C:nucleus,1.0,,,,,,
KAI7843559.1,GO:0005634,C:nucleus,1.0,,,,,,
KAI7843560.1,GO:0005634,C:nucleus,1.0,,,,,,
KAI7843566.1,GO:0009535,C:chloroplast thylakoid membrane,0.8,,,1-40,351-362,,
KAI7843569.1,GO:0005615,C:extracellular space,0.98,1-20,,,,,
KAI7843572.1,GO:0012505,C:endomembrane system,0.93,1-31,,,586-604,,
KAI7843583.1,GO:0005739,C:mitochondrion,0.86,,1-42,,,,
KAI7843591.1,GO:0005886,C:plasma membrane,1.0,,,,284-307,,
KAI7843602.1,GO:0031090,C:organelle membrane,0.65,,,,69-93;228-252,,
KAI7843618.1,GO:0005737,C:cytoplasm,0.61,,,,,,
KAI7843621.1,GO:0005634,C:nucleus,1.0,,,,,,
KAI7843623.1,GO:0005634,C:nucleus,1.0,,,,,,
KAI7843632.1,GO:0005634,C:nucleus,1.0,,,,,,
KAI7843635.1,GO:0005634,C:nucleus,1.0,,,,,,
KAI7843636.1,GO:0005634,C:nucleus,1.0,,,,,,
KAI7843640.1,GO:0005634,C:nucleus,1.0,,,,,,
KAI7843642.1,GO:0012505,C:endomembrane system,0.94,,,,86-108;116-138;153-179;189-211;264-292;303-328,,
KAI7843651.1,GO:0005615,C:extracellular space,1.0,1-18,,,,,
KAI7843652.1,GO:0031966,C:mitochondrial membrane,0.76,,1-58,,60-77,,
KAI7843653.1,GO:0005739,C:mitochondrion,0.88,,1-58,,,,
KAI7843659.1,GO:0005634,C:nucleus,1.0,,,,,,
KAI7843660.1,GO:0005634,C:nucleus,1.0,,,,,,
KAI7843662.1,GO:0005634,C:nucleus,1.0,,,,,,
KAI7843663.1,GO:0005737,C:cytoplasm,0.7,,,,,,
KAI7843666.1,GO:0005634,C:nucleus,1.0,,,,,,
KAI7843671.1,GO:0005634,C:nucleus,1.0,,,,,,
KAI7843680.1,GO:0005886,C:plasma membrane,0.95,,,,22-39;223-234,,
KAI7843684.1,GO:0005737,C:cytoplasm,0.7,,,,,,
KAI7843691.1,GO:0005739,C:mitochondrion,0.81,,1-52,,,,
KAI7843692.1,GO:0005739,C:mitochondrion,0.81,,1-52,,,,
KAI7843693.1,GO:0009707,C:chloroplast outer membrane,0.79,,,1-58,190-205,,
KAI7843696.1,GO:0031090,C:organelle membrane,0.73,,,,44-67;124-146;161-191;205-227;237-260;296-315;370-399;437-467,,
KAI7843702.1,GO:0005739,C:mitochondrion,0.59,,1-41,,,,
KAI7843704.1,GO:0005739,C:mitochondrion,0.97,,1-43,,,,
KAI7843708.1,GO:0009707,C:chloroplast outer membrane,0.61,,,1-45,373-386,,
KAI7843715.1,GO:0031090,C:organelle membrane,0.87,,,,233-249,,
KAI7843720.1,GO:0009507,C:chloroplast,1.0,,,,,,
KAI7843748.1,GO:0005739,C:mitochondrion,0.55,,1-43,,,,
KAI7843757.1,GO:0031090,C:organelle membrane,0.71,,,,190-207,,
KAI7843768.1,GO:0005634,C:nucleus,1.0,,,,,,
KAI7843769.1,GO:0005886,C:plasma membrane,0.93,,,,80-104;127-145;152-176;209-231;252-278;298-322;344-377,,
KAI7843773.1,GO:0031966,C:mitochondrial membrane,0.75,,1-26,,92-116;132-153,,
KAI7843779.1,GO:0009507,C:chloroplast,1.0,,,,,,
KAI7843783.1,GO:0005737,C:cytoplasm,1.0,,,,,,
KAI7843793.1,GO:0005739,C:mitochondrion,0.94,,1-25,,,,
KAI7843803.1,GO:0005739,C:mitochondrion,0.74,,1-29,,,,
KAI7843806.1,GO:0005737,C:cytoplasm,0.7,,,,,,
KAI7843814.1,GO:0012505,C:endomembrane system,0.69,,,,32-43,,
KAI7843820.1,GO:0009507,C:chloroplast,0.86,,,,,,
KAI7843826.1,GO:0005634,C:nucleus,1.0,,,,,,
KAI7843830.1,GO:0031090,C:organelle membrane,0.71,,,,18-29;36-47;394-417,,
KAI7843832.1,GO:0005886,C:plasma membrane,0.91,,,,185-196;735-761,,
KAI7843845.1,GO:0009707,C:chloroplast outer membrane,0.9,,,1-36,464-475,,
KAI7843848.1,GO:0005739,C:mitochondrion,0.96,,1-72,,,,
KAI7843849.1,GO:0005739,C:mitochondrion,0.96,,1-72,,,,
KAI7843850.1,GO:0005739,C:mitochondrion,0.96,,1-72,,,,
KAI7843859.1,GO:0005886,C:plasma membrane,0.89,,,,163-186,,
KAI7843867.1,GO:0005634,C:nucleus,1.0,,,,,,
KAI7843873.1,GO:0005634,C:nucleus,1.0,,,,,,
KAI7843877.1,GO:0005737,C:cytoplasm,0.7,,,,,,
KAI7843878.1,GO:0005634,C:nucleus,1.0,,,,,,
KAI7843883.1,GO:0005634,C:nucleus,1.0,,,,,,
KAI7843885.1,GO:0031090,C:organelle membrane,0.67,,,,392-403;473-495,,
KAI7843886.1,GO:0031090,C:organelle membrane,0.78,,,,62-78;447-465,,
KAI7843890.1,GO:0031966,C:mitochondrial membrane,0.83,,1-29,,81-101,,
KAI7843891.1,GO:0005739,C:mitochondrion,0.87,,,,,,
KAI7843895.1,GO:0005634,C:nucleus,1.0,,,,,,
KAI7843898.1,GO:0009707,C:chloroplast outer membrane,0.92,,,1-55,162-181,,
KAI7843899.1,GO:0005739,C:mitochondrion,0.74,,1-22,,,,
KAI7843901.1,GO:0031966,C:mitochondrial membrane,0.7,,1-20,,125-141;475-497;501-525;550-569;620-646;654-678,,
KAI7843911.1,GO:0005615,C:extracellular space,0.98,1-23,,,,,
KAI7843930.1,GO:0005737,C:cytoplasm,0.7,,,,,,
KAI7843932.1,GO:0005737,C:cytoplasm,0.7,,,,,,
KAI7843933.1,GO:0005737,C:cytoplasm,0.7,,,,,,
KAI7843948.1,GO:0009507,C:chloroplast,1.0,,,,,,
KAI7843958.1,GO:0005737,C:cytoplasm,0.7,,,,,,
KAI7843965.1,GO:0005634,C:nucleus,1.0,,,,,,
KAI7843967.1,GO:0009507,C:chloroplast,0.76,,,,,,
KAI7843968.1,GO:0009507,C:chloroplast,1.0,,,,,,
KAI7843986.1,GO:0005634,C:nucleus,1.0,,,,,,
KAI7843997.1,GO:0005886,C:plasma membrane,0.92,1-18,,,258-282;473-488;512-528,,
KAI7844008.1,GO:0005886,C:plasma membrane,0.82,,,,137-161;178-197;204-225;232-251;367-387,,
KAI7844021.1,GO:0005634,C:nucleus,1.0,,,,,,
KAI7844022.1,GO:0005737,C:cytoplasm,0.7,,,,,,
KAI7844023.1,GO:0005886,C:plasma membrane,0.54,1-19,,,21-43,,
KAI7844035.1,GO:0009507,C:chloroplast,1.0,,,,,,
KAI7844041.1,GO:0005634,C:nucleus,1.0,,,,,,
KAI7844042.1,GO:0005886,C:plasma membrane,0.9,,,,2-26;48-59,,
KAI7844047.1,GO:0005739,C:mitochondrion,0.84,,1-26,,,,
KAI7844048.1,GO:0005886,C:plasma membrane,0.89,,,,988-999;1110-1121,,
KAI7844050.1,GO:0005886,C:plasma membrane,0.95,,,,2024-2043;2049-2066;2073-2093;2104-2129;2137-2159;2167-2193;2205-2231;2245-2279;2322-2346;2354-2375;2385-2409,,
KAI7844054.1,GO:0005634,C:nucleus,1.0,,,,,,
KAI7844061.1,GO:0031090,C:organelle membrane,0.82,,,,82-100,,
KAI7844064.1,GO:0005634,C:nucleus,1.0,,,,,,
KAI7844081.1,GO:0009507,C:chloroplast,1.0,,,,,,
KAI7844082.1,GO:0009507,C:chloroplast,1.0,,,,,,
KAI7844083.1,GO:0009507,C:chloroplast,1.0,,,,,,
KAI7844086.1,GO:0005739,C:mitochondrion,0.84,,1-56,,,,
KAI7844090.1,GO:0005886,C:plasma membrane,0.64,,,,10-22;75-86;123-153;1184-1195,,
KAI7844093.1,GO:0031966,C:mitochondrial membrane,0.77,,1-36,,59-83,,
KAI7844094.1,GO:0031090,C:organelle membrane,0.88,,,,8-25;298-314,,
KAI7844103.1,GO:0005634,C:nucleus,1.0,,,,,,
KAI7844105.1,GO:0005634,C:nucleus,1.0,,,,,,
KAI7844106.1,GO:0005634,C:nucleus,1.0,,,,,,
KAI7844107.1,GO:0005634,C:nucleus,1.0,,,,,,
KAI7844118.1,GO:0005634,C:nucleus,1.0,,,,,,
KAI7844122.1,GO:0005634,C:nucleus,1.0,,,,,,
KAI7844137.1,GO:0005634,C:nucleus,1.0,,,,,,
KAI7844144.1,GO:0005886,C:plasma membrane,0.88,,,,47-67;379-392,,
KAI7844155.1,GO:0005634,C:nucleus,1.0,,,,,,
KAI7844166.1,GO:0009507,C:chloroplast,0.97,,,,,,
KAI7844167.1,GO:0009543,C:chloroplast thylakoid lumen,0.66,,,1-33,,,
KAI7844168.1,GO:0005615,C:extracellular space,0.98,1-25,,,,,
KAI7844172.1,GO:0005634,C:nucleus,1.0,,,,,,
KAI7844182.1,GO:0005634,C:nucleus,1.0,,,,,,
KAI7844196.1,GO:0005739,C:mitochondrion,0.95,,1-33,,,,
KAI7844199.1,GO:0031090,C:organelle membrane,0.9,,,,25-44,,
KAI7844200.1,GO:0005634,C:nucleus,1.0,,,,,,
KAI7844205.1,GO:0009507,C:chloroplast,1.0,,,,,,
KAI7844207.1,GO:0005634,C:nucleus,1.0,,,,,,
KAI7844213.1,GO:0005634,C:nucleus,1.0,,,,,,
KAI7844221.1,GO:0005615,C:extracellular space,0.99,1-21,,,,,
KAI7844225.1,GO:0005634,C:nucleus,1.0,,,,,,
KAI7844226.1,GO:0005634,C:nucleus,1.0,,,,,,
KAI7844238.1,GO:0005737,C:cytoplasm,0.7,,,,,,
KAI7844252.1,GO:0005634,C:nucleus,1.0,,,,,,
KAI7844254.1,GO:0031966,C:mitochondrial membrane,0.83,,1-53,,104-128;143-165;171-191;197-222;231-255;263-282;324-348;363-385;395-417;423-448;459-481;487-509,,
KAI7844259.1,GO:0005886,C:plasma membrane,1.0,,,,318-335;620-638;644-662;682-693;701-724;740-760;769-785;794-811;819-840;848-872;882-903;921-941;949-972;979-997;1002-1026,,
KAI7844268.1,GO:0005886,C:plasma membrane,0.79,,,,1-19;27-48;53-71;91-117;125-143;152-171;177-198;245-270;324-347;353-370,,
KAI7844286.1,GO:0005739,C:mitochondrion,0.78,,1-39,,,,
KAI7844294.1,GO:0005634,C:nucleus,1.0,,,,,,
KAI7844301.1,GO:0005739,C:mitochondrion,0.8,,1-50,,,,
KAI7844306.1,GO:0009507,C:chloroplast,1.0,,,,,,
KAI7844309.1,GO:0005739,C:mitochondrion,0.59,,1-35,,,,
KAI7844314.1,GO:0012505,C:endomembrane system,0.89,1-20,,,186-206;213-236;267-292;298-322,,
KAI7844324.1,GO:0005886,C:plasma membrane,0.64,,,,478-500;538-551,,
KAI7844329.1,GO:0005634,C:nucleus,1.0,,,,,,
KAI7844330.1,GO:0005634,C:nucleus,1.0,,,,,,
KAI7844333.1,GO:0012505,C:endomembrane system,0.88,,,,192-219;241-265;276-305;327-352;363-378;387-408,,
KAI7844338.1,GO:0005634,C:nucleus,1.0,,,,,,
KAI7844344.1,GO:0005886,C:plasma membrane,0.98,,,,40-65;73-96;218-244;253-284;597-631;639-658;675-700;726-746;763-785;805-830,,
KAI7844346.1,GO:0009507,C:chloroplast,1.0,,,,,,
KAI7844351.1,GO:0005634,C:nucleus,1.0,,,,,,
KAI7844352.1,GO:0005634,C:nucleus,1.0,,,,,,
KAI7844356.1,GO:0009707,C:chloroplast outer membrane,0.69,,,1-49,330-347,,
KAI7844367.1,GO:0009507,C:chloroplast,0.7,,,,,,
KAI7844369.1,GO:0005737,C:cytoplasm,0.7,,,,,,
KAI7844373.1,GO:0012505,C:endomembrane system,0.98,,,,35-58;103-124;153-172;180-202;204-225;233-255;282-311,,
KAI7844381.1,GO:0009707,C:chloroplast outer membrane,0.9,,,1-28,636-647,,
KAI7844383.1,GO:0005634,C:nucleus,1.0,,,,,,
KAI7844384.1,GO:0009707,C:chloroplast outer membrane,0.84,,,1-42,165-176,,
KAI7844404.1,GO:0012505,C:endomembrane system,0.88,,,,6-28,,
KAI7844416.1,GO:0005737,C:cytoplasm,0.7,,,,,,
KAI7844420.1,GO:0005634,C:nucleus,1.0,,,,,,
KAI7835279.1,GO:0031090,C:organelle membrane,0.87,,,,249-263;279-299,,
KAI7835308.1,GO:0005634,C:nucleus,1.0,,,,,,
KAI7835319.1,GO:0005634,C:nucleus,1.0,,,,,,
KAI7835327.1,GO:0046658,C:anchored component of plasma membrane,1.0,1-26,,,,,821-821
KAI7835328.1,GO:0009507,C:chloroplast,0.59,,,,,,
KAI7835341.1,GO:0005634,C:nucleus,1.0,,,,,,
KAI7835342.1,GO:0012505,C:endomembrane system,0.97,,,,198-223,,
KAI7835358.1,GO:0005615,C:extracellular space,0.99,1-19,,,,,
KAI7835365.1,GO:0005737,C:cytoplasm,0.7,,,,,,
KAI7835366.1,GO:0005634,C:nucleus,1.0,,,,,,
KAI7835371.1,GO:0005634,C:nucleus,1.0,,,,,,
KAI7835372.1,GO:0005737,C:cytoplasm,0.97,,,,,,
KAI7835373.1,GO:0005634,C:nucleus,1.0,,,,,,
KAI7835374.1,GO:0031090,C:organelle membrane,0.81,,,,51-77,,
KAI7835388.1,GO:0012505,C:endomembrane system,0.87,,,,29-58;89-115;117-128;146-174;208-237,,
KAI7835392.1,GO:0005634,C:nucleus,1.0,,,,,,
KAI7835395.1,GO:0005739,C:mitochondrion,1.0,,,,,,
KAI7835402.1,GO:0005737,C:cytoplasm,1.0,,,,,,
KAI7835403.1,GO:0005737,C:cytoplasm,1.0,,,,,,
KAI7835414.1,GO:0005634,C:nucleus,1.0,,,,,,
KAI7835418.1,GO:0005737,C:cytoplasm,0.7,,,,,,
KAI7835424.1,GO:0012505,C:endomembrane system,0.87,,,,16-37;43-60;81-97;104-122;143-166;182-206,,
KAI7835426.1,GO:0005634,C:nucleus,1.0,,,,,,
KAI7835429.1,GO:0005886,C:plasma membrane,0.81,1-26,,,385-401;428-443,,
KAI7835430.1,GO:0005886,C:plasma membrane,0.82,1-26,,,424-439,,
KAI7835432.1,GO:0005634,C:nucleus,1.0,,,,,,
KAI7835447.1,GO:0005634,C:nucleus,1.0,,,,,,
KAI7835449.1,GO:0005634,C:nucleus,1.0,,,,,,
KAI7835457.1,GO:0012505,C:endomembrane system,0.92,,,,67-87;131-164;290-316;325-356,,
KAI7835465.1,GO:0005634,C:nucleus,1.0,,,,,,
KAI7835473.1,GO:0005886,C:plasma membrane,0.86,,,,241-261,,
KAI7835482.1,GO:0005634,C:nucleus,1.0,,,,,,
KAI7835483.1,GO:0005634,C:nucleus,1.0,,,,,,
KAI7835491.1,GO:0005886,C:plasma membrane,0.9,,,,350-376;515-526;552-567,,
KAI7835500.1,GO:0005737,C:cytoplasm,0.7,,,,,,
KAI7835503.1,GO:0005739,C:mitochondrion,0.86,,1-35,,,,
KAI7835504.1,GO:0005634,C:nucleus,1.0,,,,,,
KAI7835508.1,GO:0005615,C:extracellular space,1.0,1-22,,,,,
KAI7835509.1,GO:0005886,C:plasma membrane,0.94,,,,40-59;61-87;177-188;232-244,,
KAI7835527.1,GO:0005737,C:cytoplasm,0.7,,,,,,
KAI7835529.1,GO:0009507,C:chloroplast,1.0,,,,,,
KAI7835530.1,GO:0005634,C:nucleus,1.0,,,,,,
KAI7835532.1,GO:0009707,C:chloroplast outer membrane,0.82,,,1-31,160-171,,
KAI7835537.1,GO:0031966,C:mitochondrial membrane,0.53,,1-28,,156-173;419-430,,
KAI7835539.1,GO:0005737,C:cytoplasm,0.7,,,,,,
KAI7835540.1,GO:0005634,C:nucleus,1.0,,,,,,
KAI7835543.1,GO:0009543,C:chloroplast thylakoid lumen,0.86,,,1-57,,,
KAI7835549.1,GO:0005886,C:plasma membrane,0.92,1-19,,,1070-1088;1186-1197,,
KAI7835554.1,GO:0005739,C:mitochondrion,0.65,,1-34,,,,
KAI7835555.1,GO:0005739,C:mitochondrion,0.96,,1-34,,,,
KAI7835556.1,GO:0031090,C:organelle membrane,0.9,,,,6-24;371-387,,
KAI7835559.1,GO:0005615,C:extracellular space,0.99,1-17,,,,,
KAI7835561.1,GO:0005737,C:cytoplasm,0.66,,,,,,
KAI7835567.1,GO:0005634,C:nucleus,1.0,,,,,,
KAI7835568.1,GO:0031966,C:mitochondrial membrane,0.52,,1-24,,33-44,,
KAI7835592.1,GO:0005634,C:nucleus,1.0,,,,,,
KAI7835594.1,GO:0005615,C:extracellular space,0.99,,,,,,
KAI7835595.1,GO:0005634,C:nucleus,1.0,,,,,,
KAI7835603.1,GO:0005886,C:plasma membrane,0.45,,,,28-47;603-614,,
KAI7835626.1,GO:0005634,C:nucleus,1.0,,,,,,
KAI7835628.1,GO:0005634,C:nucleus,1.0,,,,,,
KAI7835629.1,GO:0005634,C:nucleus,1.0,,,,,,
KAI7835631.1,GO:0012505,C:endomembrane system,0.93,,,,130-142,,
KAI7835635.1,GO:0009507,C:chloroplast,0.75,,,,,,
KAI7835641.1,GO:0005739,C:mitochondrion,0.68,,1-22,,,,
KAI7835655.1,GO:0005737,C:cytoplasm,0.7,,,,,,
KAI7835657.1,GO:0005634,C:nucleus,1.0,,,,,,
KAI7835669.1,GO:0009507,C:chloroplast,1.0,,,,,,
KAI7835671.1,GO:0005634,C:nucleus,1.0,,,,,,
KAI7835698.1,GO:0009507,C:chloroplast,1.0,,,,,,
KAI7835713.1,GO:0009507,C:chloroplast,1.0,,,,,,
KAI7835718.1,GO:0005634,C:nucleus,1.0,,,,,,
KAI7835726.1,GO:0005737,C:cytoplasm,0.7,,,,,,
KAI7835729.1,GO:0005737,C:cytoplasm,0.7,,,,,,
KAI7835730.1,GO:0005737,C:cytoplasm,0.64,,,,,,
KAI7835734.1,GO:0009707,C:chloroplast outer membrane,0.93,,,1-40,504-519,,
KAI7835749.1,GO:0009507,C:chloroplast,1.0,,,,,,
KAI7835757.1,GO:0012505,C:endomembrane system,0.56,,,,4-27;49-74;96-116;119-144;165-190;221-246;258-280;282-306;319-345,,
KAI7835759.1,GO:0009535,C:chloroplast thylakoid membrane,0.8,,,1-42,117-135,,
KAI7835770.1,GO:0009507,C:chloroplast,1.0,,,,,,
KAI7835774.1,GO:0005886,C:plasma membrane,0.84,,,,32-57;275-286,,
KAI7835781.1,GO:0009507,C:chloroplast,0.94,,,,,,
KAI7835782.1,GO:0005886,C:plasma membrane,0.92,,,,64-91,,
KAI7835790.1,GO:0009707,C:chloroplast outer membrane,0.85,,,1-40,133-147,,
KAI7835791.1,GO:0009507,C:chloroplast,0.94,,,,,,
KAI7835796.1,GO:0005739,C:mitochondrion,0.9,,1-37,,,,
KAI7835802.1,GO:0012505,C:endomembrane system,0.83,,,,332-343,,
KAI7835803.1,GO:0012505,C:endomembrane system,0.83,,,,332-343,,
KAI7835812.1,GO:0012505,C:endomembrane system,0.71,,,,32-46;83-106;133-151,,
KAI7835816.1,GO:0005634,C:nucleus,1.0,,,,,,
KAI7835817.1,GO:0005634,C:nucleus,1.0,,,,,,
KAI7835829.1,GO:0012505,C:endomembrane system,0.78,,,,72-83;448-459;660-679;803-814,,
KAI7835830.1,GO:0005886,C:plasma membrane,0.8,,,,623-644;786-806,,
KAI7835839.1,GO:0031966,C:mitochondrial membrane,0.53,,1-50,,161-180;307-318;628-639,,
KAI7835841.1,GO:0005737,C:cytoplasm,0.7,,,,,,
KAI7835873.1,GO:0005739,C:mitochondrion,0.86,,1-29,,,,
KAI7835882.1,GO:0012505,C:endomembrane system,0.97,,,,2-18;30-50;56-75;95-114;120-139;159-179;203-219,,
KAI7835888.1,GO:0005886,C:plasma membrane,0.95,,,,93-111;237-261;741-770,,
KAI7835890.1,GO:0009707,C:chloroplast outer membrane,0.77,,,1-38,62-76,,
KAI7835894.1,GO:0005737,C:cytoplasm,0.7,,,,,,
KAI7835897.1,GO:0031090,C:organelle membrane,0.96,,,,107-127;163-185,,
KAI7835908.1,GO:0005739,C:mitochondrion,0.66,,1-23,,,,
KAI7835941.1,GO:0005634,C:nucleus,1.0,,,,,,
KAI7835944.1,GO:0005886,C:plasma membrane,0.72,,,,260-271,,
KAI7835947.1,GO:0005634,C:nucleus,1.0,,,,,,
KAI7835949.1,GO:0005739,C:mitochondrion,0.91,,1-30,,,,
KAI7835961.1,GO:0005634,C:nucleus,1.0,,,,,,
KAI7835962.1,GO:0005739,C:mitochondrion,0.95,,1-58,,,,
KAI7835968.1,GO:0005737,C:cytoplasm,0.7,,,,,,
KAI7835969.1,GO:0005739,C:mitochondrion,0.84,,1-46,,,,
KAI7835975.1,GO:0005634,C:nucleus,1.0,,,,,,
KAI7835977.1,GO:0005886,C:plasma membrane,0.78,1-21,,,286-307;471-485;513-528,,
KAI7835988.1,GO:0005634,C:nucleus,1.0,,,,,,
KAI7835998.1,GO:0012505,C:endomembrane system,0.89,,,,71-95,,
KAI7835999.1,GO:0005634,C:nucleus,1.0,,,,,,
KAI7836009.1,GO:0005634,C:nucleus,1.0,,,,,,
KAI7836016.1,GO:0005739,C:mitochondrion,0.79,,1-80,,,,
KAI7836039.1,GO:0031090,C:organelle membrane,0.67,,,,4-29,,
KAI7836043.1,GO:0005739,C:mitochondrion,0.92,,1-32,,,,
KAI7836054.1,GO:0005634,C:nucleus,1.0,,,,,,
KAI7836103.1,GO:0031090,C:organelle membrane,0.48,,,,137-158;174-185;187-198,,
KAI7836112.1,GO:0031966,C:mitochondrial membrane,0.76,,1-39,,587-598,,
KAI7836121.1,GO:0005886,C:plasma membrane,0.63,1-24,,,141-152;430-442,,
KAI7836125.1,GO:0005615,C:extracellular space,1.0,1-19,,,,,
KAI7836138.1,GO:0009707,C:chloroplast outer membrane,0.85,,,1-35,178-192,,
KAI7836141.1,GO:0005634,C:nucleus,1.0,,,,,,
KAI7836143.1,GO:0005615,C:extracellular space,0.97,1-22,,,,,
KAI7836146.1,GO:0005634,C:nucleus,1.0,,,,,,
KAI7836150.1,GO:0012505,C:endomembrane system,0.97,,,,24-55;319-347;477-495,,
KAI7836152.1,GO:0005634,C:nucleus,1.0,,,,,,
KAI7836164.1,GO:0005737,C:cytoplasm,0.54,,,,,,
KAI7836178.1,GO:0005634,C:nucleus,1.0,,,,,,
KAI7836181.1,GO:0005634,C:nucleus,1.0,,,,,,
KAI7836183.1,GO:0012505,C:endomembrane system,0.78,,,,498-519;669-690,,
KAI7836184.1,GO:0012505,C:endomembrane system,0.8,,,,474-505;512-536;546-570;578-603;605-628;704-727;739-770,,
KAI7836188.1,GO:0005886,C:plasma membrane,0.7,,,,5-28;52-77;93-110;117-141;160-185;197-223;242-267;291-302;463-474;494-515;520-541;556-581,,
KAI7836192.1,GO:0005634,C:nucleus,1.0,,,,,,
KAI7836200.1,GO:0005634,C:nucleus,1.0,,,,,,
KAI7836201.1,GO:0005886,C:plasma membrane,0.59,1-26,,,155-167,,
KAI7836202.1,GO:0005886,C:plasma membrane,0.61,1-26,,,155-168,,
KAI7836238.1,GO:0031090,C:organelle membrane,0.88,,,,97-114;244-255,,
KAI7836240.1,GO:0005634,C:nucleus,1.0,,,,,,
KAI7836241.1,GO:0005886,C:plasma membrane,0.79,1-21,,,552-563;565-576;582-605,,
KAI7836250.1,GO:0031090,C:organelle membrane,0.6,,,,10-28;38-56;58-76;89-119;124-141;147-164;176-199;223-245;272-290;298-317;326-346;366-386;390-422;449-473,,
KAI7836251.1,GO:0031090,C:organelle membrane,0.6,,,,10-28;37-56;58-77;89-119;124-141;147-164;176-199;223-245;272-290;298-317;326-346;366-386;389-423;449-470;486-500,,
KAI7836254.1,GO:0009535,C:chloroplast thylakoid membrane,0.68,,,1-19,39-55,,
KAI7836274.1,GO:0005886,C:plasma membrane,0.87,,,,210-221,,
KAI7836275.1,GO:0005886,C:plasma membrane,0.88,,,,210-221,,
KAI7836287.1,GO:0005634,C:nucleus,1.0,,,,,,
KAI7836294.1,GO:0031090,C:organelle membrane,0.75,,,,71-92;102-122;133-147,,
KAI7836301.1,GO:0031090,C:organelle membrane,0.93,,,,25-43;127-145,,
KAI7836303.1,GO:0005739,C:mitochondrion,0.6,,1-35,,,,
KAI7836306.1,GO:0012505,C:endomembrane system,0.97,,,,166-185;263-287,,
KAI7836308.1,GO:0005634,C:nucleus,1.0,,,,,,
KAI7836323.1,GO:0005886,C:plasma membrane,0.85,,,,70-87;597-608,,
KAI7836327.1,GO:0005739,C:mitochondrion,0.85,,1-37,,,,
KAI7836328.1,GO:0005739,C:mitochondrion,0.85,,1-37,,,,
KAI7836329.1,GO:0005634,C:nucleus,1.0,,,,,,
KAI7836339.1,GO:0031090,C:organelle membrane,0.69,,,,174-192,,
KAI7836348.1,GO:0005739,C:mitochondrion,0.94,,1-30,,,,
KAI7836349.1,GO:0005739,C:mitochondrion,0.94,,1-30,,,,
KAI7836350.1,GO:0012505,C:endomembrane system,0.91,,,,140-153;185-196;348-359;361-372;400-430,,
KAI7836362.1,GO:0005615,C:extracellular space,0.91,1-25,,,,,
KAI7836371.1,GO:0005886,C:plasma membrane,0.35,,,,10-35;49-70;78-98;115-130;160-183,,
KAI7836372.1,GO:0031966,C:mitochondrial membrane,0.84,,1-25,,61-80,,
KAI7836376.1,GO:0005737,C:cytoplasm,0.7,,,,,,
KAI7836378.1,GO:0005739,C:mitochondrion,0.99,,,,,,
KAI7836379.1,GO:0005739,C:mitochondrion,0.96,,,,,,
KAI7836381.1,GO:0005634,C:nucleus,1.0,,,,,,
KAI7836386.1,GO:0005615,C:extracellular space,0.74,1-21,,,,,
KAI7836387.1,GO:0005615,C:extracellular space,0.74,1-21,,,,,
KAI7836408.1,GO:0005739,C:mitochondrion,0.62,,1-30,,,,
KAI7836410.1,GO:0005634,C:nucleus,1.0,,,,,,
KAI7836413.1,GO:0005634,C:nucleus,1.0,,,,,,
KAI7836415.1,GO:0031090,C:organelle membrane,0.54,,,,4-20,,
KAI7836418.1,GO:0031966,C:mitochondrial membrane,0.64,,1-28,,357-377;402-413,,
KAI7836422.1,GO:0005739,C:mitochondrion,0.92,,1-37,,,,
KAI7836438.1,GO:0005737,C:cytoplasm,0.7,,,,,,
KAI7836442.1,GO:0009507,C:chloroplast,1.0,,,,,,
KAI7836445.1,GO:0005634,C:nucleus,1.0,,,,,,
KAI7836449.1,GO:0005634,C:nucleus,1.0,,,,,,
KAI7836457.1,GO:0005886,C:plasma membrane,0.87,,,,25-36;549-571;853-869,,
KAI7836463.1,GO:0005737,C:cytoplasm,0.69,,,,,,
KAI7836464.1,GO:0005634,C:nucleus,1.0,,,,,,
KAI7836476.1,GO:0005737,C:cytoplasm,1.0,,,,,,
KAI7836477.1,GO:0005615,C:extracellular space,1.0,,,,,,
KAI7836482.1,GO:0005739,C:mitochondrion,0.71,,1-36,,,,
KAI7836522.1,GO:0005634,C:nucleus,1.0,,,,,,
KAI7836523.1,GO:0005634,C:nucleus,1.0,,,,,,
KAI7836525.1,GO:0012505,C:endomembrane system,0.75,,,,151-174;434-462,,
KAI7836528.1,GO:0005737,C:cytoplasm,0.7,,,,,,
KAI7836532.1,GO:0005634,C:nucleus,1.0,,,,,,
KAI7836538.1,GO:0005615,C:extracellular space,0.54,,,,,,
KAI7836545.1,GO:0005886,C:plasma membrane,0.95,,,,19-44;67-83;89-122;153-172;235-261;275-297;303-326;340-358;378-400;407-426,,
